#{"t_start": 1704738893.241877, "env_id": "None"}
r,l,t
1.0,164,3.003366
1.0,164,3.003366
1.0,164,3.003366
0.0,164,3.003366
1.0,164,3.003366
1.0,164,3.003366
1.0,164,3.003366
2.0,164,3.003366
2.0,164,3.003366
1.0,164,3.003366
0.0,164,3.003366
0.0,164,3.003366
1.0,164,3.003366
0.0,164,3.003366
1.0,164,3.003366
1.0,164,3.003366
0.0,164,3.003366
2.0,164,3.003366
2.0,164,3.003366
1.0,164,3.003366
0.0,164,3.003366
0.0,164,3.003366
1.0,164,3.003366
1.0,164,3.003366
0.0,164,5.877462
0.0,164,5.877462
2.0,164,5.877462
1.0,164,5.877462
0.0,164,5.877462
2.0,164,5.877462
0.0,164,5.877462
1.0,164,5.877462
2.0,164,5.877462
0.0,164,5.877462
0.0,164,5.877462
0.0,164,5.877462
1.0,164,5.877462
0.0,164,5.877462
1.0,164,5.880522
1.0,184,6.233988
0.0,184,6.233988
0.0,184,6.233988
0.0,184,6.233988
0.0,184,6.233988
2.0,184,6.233988
2.0,184,6.233988
1.0,184,6.233988
1.0,184,6.233988
2.0,164,8.772118
0.0,164,8.772118
1.0,164,8.772118
0.0,164,8.772118
0.0,164,8.772118
0.0,164,8.772118
0.0,164,9.132628
0.0,164,9.132628
1.0,164,9.132628
0.0,164,9.132628
0.0,164,9.132628
0.0,164,9.132628
1.0,164,9.132628
0.0,164,9.132628
2.0,164,9.132628
0.0,184,9.132628
0.0,184,9.132628
5.0,184,9.132628
3.0,204,9.461867
1.0,204,9.461867
1.0,204,9.461867
2.0,204,9.461867
0.0,204,9.461867
3.0,204,9.461867
1.0,164,11.652925
0.0,164,11.652925
3.0,164,11.652925
2.0,184,12.022038
2.0,184,12.022038
1.0,184,12.022038
0.0,164,12.022038
0.0,164,12.022038
0.0,164,12.022038
1.0,164,12.022038
0.0,164,12.022038
1.0,164,12.022038
0.0,164,12.022038
1.0,164,12.022038
1.0,164,12.022038
1.0,184,12.352285
1.0,184,12.352285
1.0,184,12.367908
0.0,164,12.367908
0.0,164,12.367908
2.0,164,12.367908
1.0,164,12.367908
0.0,164,12.367908
1.0,164,12.367908
1.0,164,14.623378
0.0,164,14.623378
0.0,164,14.623378
0.0,164,14.958035
1.0,164,14.958035
1.0,164,14.958035
1.0,164,14.958035
0.0,164,14.958035
0.0,164,14.958035
0.0,164,14.958035
0.0,164,14.958035
0.0,164,14.958035
0.0,164,15.303999
1.0,164,15.303999
0.0,164,15.303999
2.0,164,15.303999
0.0,164,15.303999
1.0,164,15.303999
0.0,184,15.303999
0.0,184,15.303999
2.0,184,15.303999
2.0,184,15.663293
0.0,184,15.663293
2.0,184,15.663293
1.0,164,17.847316
0.0,164,17.847316
0.0,164,17.847316
2.0,184,17.847316
0.0,184,17.847316
1.0,184,17.847316
2.0,184,18.215919
0.0,184,18.215919
0.0,184,18.215919
1.0,184,18.215919
1.0,184,18.215919
0.0,184,18.215919
0.0,164,18.215919
1.0,164,18.215919
0.0,164,18.215919
0.0,164,18.215919
1.0,164,18.215919
0.0,164,18.215919
2.0,164,18.215919
0.0,164,18.215919
1.0,164,18.215919
0.0,164,18.554622
0.0,164,18.554622
0.0,164,18.554622
0.0,164,20.762462
2.0,164,20.762462
1.0,164,20.762462
0.0,164,20.762462
0.0,164,20.762462
2.0,164,20.762462
0.0,164,21.118913
0.0,164,21.119912
0.0,164,21.119912
0.0,164,21.119912
0.0,164,21.119912
1.0,164,21.119912
1.0,164,21.119912
0.0,164,21.119912
0.0,164,21.119912
1.0,164,21.119912
1.0,164,21.119912
1.0,164,21.119912
0.0,164,21.119912
0.0,164,21.119912
0.0,164,21.119912
0.0,164,21.466459
0.0,164,21.466459
2.0,164,21.466459
0.0,164,23.680512
0.0,164,23.680512
1.0,164,23.680512
1.0,164,23.680512
1.0,164,23.680512
0.0,164,23.680512
0.0,164,24.033147
0.0,164,24.033147
0.0,164,24.033147
0.0,164,24.033147
0.0,164,24.033147
1.0,164,24.033147
0.0,164,24.033147
1.0,164,24.033147
0.0,164,24.033147
0.0,164,24.033147
1.0,164,24.033147
0.0,164,24.033147
0.0,184,24.39944
1.0,184,24.39944
1.0,184,24.39944
0.0,184,24.760876
1.0,184,24.760876
2.0,184,24.760876
1.0,164,26.704154
0.0,164,26.704154
1.0,164,26.704154
0.0,164,27.07915
0.0,164,27.07915
1.0,164,27.07915
0.0,164,27.07915
0.0,164,27.07915
2.0,164,27.07915
0.0,184,27.07915
1.0,184,27.07915
1.0,184,27.07915
0.0,164,27.07915
0.0,164,27.07915
0.0,164,27.07915
3.0,164,27.407301
1.0,164,27.407301
1.0,164,27.407301
0.0,204,27.782342
1.0,204,27.782342
2.0,204,27.782342
0.0,164,27.782342
1.0,164,27.782342
0.0,164,27.782342
0.0,164,29.642184
0.0,164,29.642184
0.0,164,29.642184
2.0,164,30.001789
1.0,164,30.001789
0.0,164,30.001789
0.0,164,30.001789
0.0,164,30.001789
2.0,164,30.001789
0.0,164,30.001789
1.0,164,30.001789
1.0,164,30.001789
1.0,164,30.001789
0.0,164,30.001789
0.0,164,30.001789
2.0,164,30.663836
1.0,164,30.663836
1.0,164,30.663836
0.0,164,30.663836
2.0,164,30.663836
0.0,164,30.663836
0.0,284,32.506289
0.0,284,32.506289
7.0,284,32.506289
2.0,164,32.591234
0.0,164,32.591234
2.0,164,32.591234
1.0,164,32.976512
0.0,164,32.976512
1.0,164,32.976512
0.0,164,32.976512
0.0,164,32.976512
2.0,164,32.976512
1.0,164,32.976512
0.0,164,32.976512
2.0,164,32.976512
0.0,164,32.976512
1.0,164,32.976512
1.0,164,32.976512
1.0,164,33.724735
1.0,164,33.724735
2.0,164,33.724735
0.0,164,33.724735
0.0,164,33.724735
0.0,164,33.724735
0.0,164,35.517862
0.0,164,35.517862
3.0,164,35.517862
0.0,164,35.871597
0.0,164,35.871597
0.0,164,35.871597
0.0,164,35.871597
0.0,164,35.871597
1.0,164,35.871597
1.0,164,35.871597
0.0,164,35.871597
0.0,164,35.871597
0.0,204,36.157057
0.0,204,36.157057
2.0,204,36.157057
2.0,204,36.570517
1.0,204,36.570517
1.0,204,36.570517
2.0,184,36.914406
1.0,184,36.914406
3.0,184,36.914406
4.0,224,37.622873
0.0,224,37.622873
1.0,224,37.622873
0.0,164,38.400735
0.0,164,38.400735
1.0,164,38.400735
0.0,164,38.744875
0.0,164,38.744875
1.0,164,38.744875
0.0,164,38.744875
0.0,164,38.744875
4.0,164,38.744875
0.0,164,38.744875
0.0,164,38.744875
4.0,164,38.744875
1.0,184,39.370265
0.0,184,39.370265
0.0,184,39.370265
0.0,184,39.776979
0.0,184,39.776979
2.0,184,39.776979
1.0,164,39.776979
3.0,164,39.776979
1.0,164,39.776979
0.0,164,40.467702
1.0,164,40.467702
1.0,164,40.467702
2.0,164,41.225376
0.0,164,41.225376
0.0,164,41.225376
1.0,164,41.558518
0.0,164,41.558518
0.0,164,41.558518
1.0,164,41.558518
0.0,164,41.558518
1.0,164,41.558518
1.0,184,41.906656
2.0,184,41.906656
1.0,184,41.906656
0.0,164,42.172609
1.0,164,42.172609
0.0,164,42.172609
2.0,164,42.594494
2.0,164,42.594494
0.0,164,42.594494
1.0,184,42.942694
0.0,184,42.942694
1.0,184,42.942694
0.0,164,43.301666
0.0,164,43.301666
1.0,164,43.301666
0.0,164,44.051805
1.0,164,44.051805
1.0,164,44.051805
1.0,164,44.379927
0.0,164,44.379927
1.0,164,44.379927
0.0,164,44.379927
1.0,164,44.379927
1.0,164,44.379927
1.0,164,44.756799
0.0,164,44.756799
2.0,164,44.756799
0.0,164,45.049461
0.0,164,45.049461
1.0,164,45.049461
0.0,164,45.475973
1.0,164,45.475973
0.0,164,45.475973
0.0,164,45.824652
1.0,164,45.824652
1.0,164,45.824652
2.0,164,46.158271
0.0,164,46.158271
1.0,164,46.158271
1.0,184,47.294829
2.0,184,47.294829
1.0,184,47.294829
1.0,164,47.655864
0.0,164,47.655864
0.0,164,47.655864
2.0,184,47.655864
0.0,184,47.655864
1.0,184,47.655864
1.0,164,47.940934
1.0,164,47.940934
2.0,164,47.940934
1.0,204,48.008166
0.0,204,48.008166
2.0,204,48.008166
1.0,164,48.364995
0.0,164,48.364995
1.0,164,48.364995
0.0,184,49.396773
0.0,184,49.396773
3.0,184,49.396773
0.0,224,49.726146
1.0,224,49.726146
5.0,224,49.726146
0.0,164,50.476301
0.0,164,50.476301
2.0,164,50.476301
0.0,164,50.741922
1.0,164,50.741922
0.0,164,50.741922
0.0,184,50.804423
1.0,184,50.804423
0.0,184,50.804423
1.0,204,50.804423
0.0,204,50.804423
3.0,204,50.804423
0.0,164,50.804423
0.0,164,50.804423
1.0,164,50.804423
1.0,164,51.132618
1.0,164,51.132618
1.0,164,51.132618
1.0,164,52.157149
0.0,164,52.157149
0.0,164,52.157149
1.0,204,53.305705
0.0,204,53.305705
2.0,204,53.305705
0.0,164,53.389248
0.0,164,53.389248
1.0,164,53.389248
0.0,164,53.718664
0.0,164,53.718664
1.0,164,53.718664
2.0,164,54.17399
1.0,164,54.17399
0.0,164,54.17399
2.0,184,54.17399
0.0,184,54.17399
1.0,184,54.17399
1.0,204,54.53882
2.0,204,54.53882
0.0,204,54.53882
0.0,224,54.888155
1.0,224,54.888155
3.0,224,54.888155
2.0,164,55.259923
0.0,164,55.259923
1.0,164,55.259923
0.0,164,56.657202
0.0,164,56.657202
0.0,164,56.657202
2.0,204,57.0187
1.0,204,57.0187
3.0,204,57.0187
1.0,204,57.087413
1.0,204,57.087413
3.0,204,57.087413
3.0,184,57.445447
0.0,184,57.445447
1.0,184,57.445447
0.0,164,57.445447
1.0,164,57.445447
1.0,164,57.445447
1.0,204,57.819098
0.0,204,57.819098
2.0,204,57.819098
0.0,164,57.819098
0.0,164,57.819098
1.0,164,57.819098
0.0,204,58.884498
1.0,204,58.884498
3.0,204,58.884498
1.0,164,60.005257
0.0,164,60.005257
0.0,164,60.005257
0.0,184,60.005257
1.0,184,60.005257
0.0,184,60.005257
0.0,164,60.072729
0.0,164,60.072729
0.0,164,60.072729
0.0,164,60.42349
0.0,164,60.42349
0.0,164,60.42349
1.0,164,60.788499
1.0,164,60.788499
1.0,164,60.788499
0.0,164,60.788499
0.0,164,60.788499
1.0,164,60.788499
1.0,224,61.49488
2.0,224,61.49488
2.0,224,61.49488
0.0,184,62.182829
1.0,184,62.182829
2.0,184,62.182829
1.0,164,62.905336
0.0,164,62.905336
1.0,164,62.905336
1.0,164,62.905336
0.0,164,62.905336
1.0,164,62.905336
0.0,184,63.339888
0.0,184,63.339888
2.0,184,63.339888
0.0,164,63.339888
1.0,164,63.339888
0.0,164,63.339888
0.0,184,64.021896
0.0,184,64.021896
2.0,184,64.021896
0.0,204,64.355092
2.0,204,64.355092
3.0,204,64.355092
0.0,164,64.355092
2.0,164,64.355092
2.0,164,64.355092
2.0,184,65.484715
1.0,184,65.484715
0.0,184,65.484715
0.0,164,65.839872
1.0,164,65.839872
1.0,164,65.839872
0.0,184,66.166942
3.0,184,66.166942
1.0,184,66.166942
0.0,164,66.235166
1.0,164,66.235166
0.0,164,66.235166
1.0,164,66.919998
0.0,164,66.920996
1.0,164,66.920996
3.0,224,67.25502
0.0,224,67.25502
3.0,224,67.25502
1.0,164,67.25502
0.0,164,67.25502
0.0,164,67.25502
0.0,164,67.25502
1.0,164,67.25502
1.0,164,67.25502
1.0,164,68.625419
0.0,164,68.625419
0.0,164,68.625419
0.0,164,68.989157
0.0,164,68.989157
1.0,164,68.989157
0.0,184,69.439242
1.0,184,69.440713
1.0,184,69.440713
2.0,244,69.722327
1.0,244,69.722327
2.0,244,69.722327
0.0,164,69.789504
0.0,164,69.789504
0.0,164,69.789504
2.0,164,70.136096
0.0,164,70.136096
0.0,164,70.136096
0.0,184,70.489006
0.0,184,70.489006
1.0,184,70.489006
1.0,204,70.841763
1.0,204,70.841763
2.0,204,70.841763
0.0,164,71.521605
1.0,164,71.521605
1.0,164,71.521605
1.0,164,71.87314
0.0,164,71.87314
1.0,164,71.87314
0.0,164,72.271735
1.0,164,72.271735
0.0,164,72.271735
0.0,184,72.862261
1.0,184,72.862261
3.0,184,72.862261
1.0,164,72.92477
0.0,164,72.92477
3.0,164,72.92477
1.0,184,72.92477
0.0,184,72.92477
2.0,184,72.92477
0.0,164,73.284643
0.0,164,73.284643
2.0,164,73.284643
0.0,164,73.621443
0.0,164,73.621443
0.0,164,73.621443
0.0,184,74.67299
0.0,184,74.67299
2.0,184,74.67299
2.0,164,75.06809
1.0,164,75.06809
0.0,164,75.06809
1.0,164,75.721115
0.0,164,75.721115
0.0,164,75.721115
1.0,164,75.784692
0.0,164,75.784692
1.0,164,75.784692
1.0,164,75.784692
0.0,164,75.784692
2.0,164,75.784692
1.0,244,76.040914
2.0,244,76.040914
5.0,244,76.040914
0.0,164,76.451396
0.0,164,76.451396
1.0,164,76.451396
0.0,184,76.451396
0.0,184,76.451396
2.0,184,76.451396
0.0,204,78.204831
1.0,204,78.204831
3.0,204,78.204831
2.0,164,78.564387
0.0,164,78.564387
0.0,164,78.564387
1.0,204,78.638415
1.0,204,78.638415
1.0,204,78.638415
2.0,164,78.638415
0.0,164,78.638415
1.0,164,78.638415
1.0,164,78.638415
2.0,164,78.638415
0.0,164,78.638415
1.0,164,78.888405
0.0,164,78.888405
1.0,164,78.888405
3.0,184,79.689946
0.0,184,79.689946
2.0,184,79.689946
1.0,204,80.02927
0.0,204,80.02927
2.0,204,80.02927
2.0,164,81.08858
0.0,164,81.08858
0.0,164,81.08858
0.0,164,81.428715
1.0,164,81.428715
5.0,164,81.428715
0.0,164,81.778659
1.0,164,81.778659
0.0,164,81.778659
0.0,184,81.856776
1.0,184,81.856776
2.0,184,81.856776
0.0,184,81.856776
0.0,184,81.856776
3.0,184,81.856776
5.0,204,82.186359
0.0,204,82.186359
1.0,204,82.186359
0.0,164,82.514608
0.0,164,82.514608
0.0,164,82.514608
1.0,164,82.848727
0.0,164,82.848727
2.0,164,82.848727
0.0,164,83.883034
0.0,164,83.883034
0.0,164,83.883034
3.0,184,84.588152
1.0,184,84.588152
1.0,184,84.588152
2.0,164,84.588152
0.0,164,84.588152
0.0,164,84.588152
2.0,164,84.671366
0.0,164,84.671366
0.0,164,84.671366
2.0,164,84.671366
1.0,164,84.671366
0.0,164,84.671366
1.0,164,85.354185
0.0,164,85.354185
0.0,164,85.354185
1.0,184,85.354185
0.0,184,85.354185
1.0,184,85.354185
1.0,184,86.028045
1.0,184,86.028045
2.0,184,86.028045
0.0,184,87.088072
1.0,184,87.088072
1.0,184,87.088072
1.0,164,87.404909
0.0,164,87.404909
0.0,164,87.404909
2.0,164,87.404909
0.0,164,87.404909
1.0,164,87.404909
0.0,164,87.483579
0.0,164,87.483579
0.0,164,87.483579
0.0,164,87.483579
0.0,164,87.483579
0.0,164,87.483579
1.0,164,88.128774
0.0,164,88.128774
0.0,164,88.128774
0.0,164,88.128774
0.0,164,88.128774
2.0,164,88.128774
1.0,164,88.821122
1.0,164,88.821122
1.0,164,88.821122
0.0,184,90.221235
0.0,184,90.221235
3.0,184,90.221235
1.0,164,90.221235
1.0,164,90.221235
1.0,164,90.221235
1.0,164,90.271418
1.0,164,90.271418
1.0,164,90.271418
0.0,184,90.587827
0.0,184,90.587827
2.0,184,90.587827
1.0,184,90.670997
0.0,184,90.671251
2.0,184,90.671251
0.0,164,90.992399
1.0,164,90.992399
0.0,164,90.992399
0.0,164,90.992399
0.0,164,90.992399
2.0,164,90.992399
0.0,164,91.670774
0.0,164,91.670774
2.0,164,91.670774
0.0,164,93.054781
0.0,164,93.054781
0.0,164,93.054781
1.0,164,93.122869
2.0,164,93.122869
0.0,164,93.122869
0.0,184,93.397478
0.0,184,93.397478
2.0,184,93.397478
2.0,184,93.757235
0.0,184,93.757235
0.0,184,93.757235
1.0,164,93.82088
0.0,164,93.82088
0.0,164,93.82088
1.0,184,93.82088
1.0,184,93.82088
2.0,184,93.82088
1.0,164,93.82088
0.0,164,93.82088
1.0,164,93.82088
0.0,164,94.47896
0.0,164,94.47896
3.0,164,94.47896
0.0,164,95.952936
0.0,164,95.952936
1.0,164,95.952936
1.0,164,96.218561
0.0,164,96.218561
1.0,164,96.218561
1.0,184,96.218561
1.0,184,96.218561
2.0,184,96.218561
0.0,164,96.611392
1.0,164,96.611392
1.0,164,96.611392
1.0,184,96.892749
2.0,184,96.892749
1.0,184,96.892749
1.0,184,96.970872
1.0,184,96.970872
1.0,184,96.970872
1.0,164,97.316559
0.0,164,97.316559
2.0,164,97.316559
3.0,204,97.316559
0.0,204,97.316559
1.0,204,97.316559
0.0,164,98.774788
0.0,164,98.774788
1.0,164,98.774788
1.0,164,99.040787
0.0,164,99.040787
1.0,164,99.040787
2.0,164,99.040787
0.0,164,99.040787
1.0,164,99.040787
0.0,164,99.448606
0.0,164,99.448606
0.0,164,99.448606
0.0,164,99.716267
0.0,164,99.716267
1.0,164,99.716267
0.0,184,100.154492
0.0,184,100.154492
2.0,184,100.154492
0.0,164,100.154492
0.0,164,100.154492
1.0,164,100.154492
0.0,164,100.154492
0.0,164,100.154492
2.0,164,100.154492
1.0,164,101.924909
0.0,164,101.924909
1.0,164,101.924909
2.0,184,101.999324
1.0,184,101.999324
0.0,184,101.999324
2.0,164,102.337963
0.0,164,102.337963
1.0,164,102.337963
0.0,164,102.612224
0.0,164,102.613224
1.0,164,102.613224
3.0,204,102.613224
0.0,204,102.613224
3.0,204,102.613224
2.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
0.0,164,103.004597
1.0,164,103.004597
1.0,184,105.078669
0.0,184,105.078669
2.0,184,105.078669
3.0,164,105.438339
1.0,164,105.438339
0.0,164,105.438339
0.0,164,105.438339
0.0,164,105.438339
2.0,164,105.438339
1.0,204,105.50457
0.0,204,105.50457
2.0,204,105.50457
0.0,184,105.50457
0.0,184,105.50457
1.0,184,105.50457
1.0,164,105.882141
0.0,164,105.882141
0.0,164,105.882141
0.0,184,106.244175
2.0,184,106.244175
1.0,184,106.244175
3.0,224,106.95576
1.0,224,106.95576
1.0,224,106.95576
0.0,164,107.98825
0.0,164,107.98825
1.0,164,107.98825
0.0,164,108.354992
0.0,164,108.354992
1.0,164,108.354992
1.0,164,108.354992
0.0,164,108.354992
0.0,164,108.354992
2.0,164,108.419599
1.0,164,108.419599
1.0,164,108.419599
0.0,164,108.774839
0.0,164,108.774839
1.0,164,108.774839
1.0,184,108.774839
0.0,184,108.774839
0.0,184,108.774839
1.0,184,109.470675
1.0,184,109.470675
1.0,184,109.470675
1.0,164,109.789171
0.0,164,109.789171
0.0,164,109.789171
0.0,164,110.872251
0.0,164,110.872251
1.0,164,110.872251
0.0,164,111.221041
0.0,164,111.221041
1.0,164,111.221041
1.0,164,111.283587
0.0,164,111.283587
1.0,164,111.283587
1.0,184,111.563754
1.0,184,111.563754
1.0,184,111.563754
0.0,164,111.626296
0.0,164,111.626296
0.0,164,111.626296
0.0,164,111.626296
0.0,164,111.626296
3.0,164,111.626296
1.0,164,112.664841
0.0,164,112.664841
1.0,164,112.664841
2.0,224,113.355781
0.0,224,113.355781
1.0,224,113.355781
1.0,164,114.064838
0.0,164,114.064838
1.0,164,114.064838
1.0,184,114.064838
1.0,184,114.064838
1.0,184,114.064838
0.0,164,114.127344
1.0,164,114.127344
2.0,164,114.127344
0.0,164,114.403947
0.0,164,114.403947
0.0,164,114.403947
0.0,164,114.491295
0.0,164,114.491295
1.0,164,114.491295
1.0,204,115.176411
0.0,204,115.176411
3.0,204,115.176411
1.0,184,115.870553
0.0,184,115.870553
0.0,184,115.870553
1.0,184,116.564099
0.0,184,116.564099
3.0,184,116.564099
0.0,164,116.997882
0.0,164,116.997882
1.0,164,116.997882
2.0,164,117.270492
0.0,164,117.270492
1.0,164,117.270492
1.0,184,117.270492
0.0,184,117.270492
3.0,184,117.270492
0.0,184,117.270492
2.0,184,117.270492
0.0,184,117.270492
0.0,184,117.664874
0.0,184,117.672724
1.0,184,117.672724
0.0,184,118.357835
1.0,184,118.357835
2.0,184,118.357835
0.0,164,118.705904
1.0,164,118.705904
1.0,164,118.705904
1.0,164,119.419629
0.0,164,119.419629
1.0,164,119.419629
0.0,164,119.813051
1.0,164,119.813051
1.0,164,119.813051
1.0,164,120.079308
0.0,164,120.079308
0.0,164,120.079308
0.0,164,120.079308
0.0,164,120.079308
1.0,164,120.079308
1.0,184,120.438186
0.0,184,120.438186
1.0,184,120.438186
2.0,184,120.864915
1.0,184,120.864915
1.0,184,120.864915
0.0,164,121.208059
1.0,164,121.208059
0.0,164,121.208059
3.0,204,122.237741
1.0,204,122.237741
1.0,204,122.237741
1.0,164,122.645546
0.0,164,122.645546
1.0,164,122.645546
1.0,204,122.936698
0.0,204,122.936698
3.0,204,122.936698
0.0,164,122.936698
0.0,164,122.936698
0.0,164,122.936698
0.0,164,123.282666
0.0,164,123.282666
0.0,164,123.282666
2.0,184,123.282666
0.0,184,123.282666
2.0,184,123.282666
2.0,164,123.704496
1.0,164,123.704496
0.0,164,123.704496
1.0,184,124.364444
0.0,184,124.364444
1.0,184,124.364444
0.0,164,125.084118
0.0,164,125.084118
2.0,164,125.084118
0.0,164,125.494732
0.0,164,125.494732
0.0,164,125.494732
1.0,164,125.760355
1.0,164,125.760355
2.0,164,125.760355
1.0,164,126.10345
0.0,164,126.10345
1.0,164,126.10345
